ID;Ejercicio;Tipo;Duración;Repeticiones;Series;Dificultad;Descripción;Instrucciones
1;Sentadillas;Piernas;15 min;3x12;3;Principiante;Ejercicio para fortalecer piernas y glúteos.;De pie, separa los pies al ancho de los hombros. Flexiona las rodillas y baja como si te sentaras, manteniendo la espalda recta. Vuelve a la posición inicial.
2;Flexiones de pecho;Pecho;10 min;3x10;3;Intermedio;Ejercicio para desarrollar la fuerza en el pecho y tríceps.;Colócate en posición de plancha con las manos separadas al ancho de los hombros. Baja el cuerpo flexionando los codos y luego vuelve a la posición inicial.
3;Plancha;Abdominales;5 min;-;-;Principiante;Ejercicio de resistencia para fortalecer los músculos abdominales.;Apoya los antebrazos en el suelo, mantén el cuerpo en línea recta desde la cabeza hasta los talones. Aguanta la posición el tiempo indicado.
4;Zancadas;Piernas;12 min;3x10;3;Intermedio;Ejercicio para tonificar las piernas y glúteos.;Da un paso hacia adelante con una pierna, flexiona ambas rodillas y baja el cuerpo. Alterna las piernas en cada repetición.
5;Fondos de tríceps;Tríceps;8 min;3x12;3;Intermedio;Ejercicio para trabajar los tríceps y parte superior del cuerpo.;Siéntate en el borde de una silla con las manos apoyadas al lado de las caderas. Flexiona los codos para bajar el cuerpo y luego vuelve a la posición inicial.
6;Mountain climbers;Cardio;10 min;3x20;3;Intermedio;Ejercicio cardiovascular que involucra varios grupos musculares.;Colócate en posición de plancha y lleva las rodillas hacia el pecho alternativamente a un ritmo rápido.
7;Russian twists;Abdominales;8 min;3x15 (cada lado);3;Principiante;Ejercicio para fortalecer los oblicuos y abdominales.;Siéntate en el suelo inclinando ligeramente hacia atrás. Gira el torso y toca el suelo a cada lado con las manos.
8;Burpees;Cardio;15 min;3x10;3;Avanzado;Ejercicio completo que combina fuerza y cardio.;Desde de pie, haz una sentadilla, coloca las manos en el suelo, salta hacia atrás a la posición de plancha, realiza una flexión, salta hacia adelante y salta verticalmente.
9;Plancha lateral;Abdominales;7 min;-;-;Intermedio;Ejercicio para fortalecer los músculos laterales y abdominales.;Colócate de lado apoyado en el antebrazo y el pie, manteniendo el cuerpo en línea recta. Aguanta la posición el tiempo indicado y luego cambia de lado.
10;Flexiones diamante;Pecho;12 min;3x12;3;Avanzado;Ejercicio avanzado para trabajar el pecho y tríceps.;Colócate en posición de plancha con las manos formando un diamante debajo del pecho. Realiza flexiones manteniendo los codos cerca del cuerpo.
11;Sentadillas con salto;Piernas;10 min;3x15;3;Intermedio;Variante de sentadillas para mejorar la potencia y resistencia.;Realiza una sentadilla y al subir, salta explosivamente. Aterriza suavemente y repite.
12;Elevaciones de pantorrilla;Piernas;8 min;3x20;3;Principiante;Ejercicio para fortalecer los músculos de la pantorrilla.;De pie, levanta los talones del suelo contrayendo los músculos de la pantorrilla. Baja y repite.
